Time(ps) MSD_Cu(A^2) MSD_Mo(A^2)
1.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000000e+04 2.890269365323233142e-02 0.674045689130130285e-02
2.700000000000000000e+04 4.949675279779384984e-02 0.975617633214907864e-02
4.000000000000000000e+04 6.212865122177322286e-02 1.356162016987098987e-02
5.300000000000000000e+04 8.123773542425116734e-02 1.681792006179565049e-02
6.600000000000000000e+04 1.091998408513525911e-01 1.942314771829905931e-02
7.900000000000000000e+04 1.209421607173454072e-01 2.198165901770041419e-02
9.200000000000000000e+04 1.329851407158343191e-01 2.351612867670836321e-02
1.050000000000000000e+05 1.403257249965288622e-01 2.592462099790402780e-02
1.180000000000000000e+05 1.542343441109465985e-01 2.753367064817659315e-02
1.320000000000000000e+05 1.648134000709586722e-01 2.996722189018467658e-02
1.450000000000000000e+05 1.760333197486455459e-01 3.105523071597983603e-02
1.580000000000000000e+05 1.894348923752131497e-01 3.205037861296716001e-02
1.710000000000000000e+05 1.935600675761092448e-01 3.370137449594131035e-02
1.840000000000000000e+05 2.094517497992182853e-01 3.591551835583286267e-02
1.970000000000000000e+05 2.151686658037673052e-01 3.714381496575975494e-02
2.100000000000000000e+05 2.174082609232512442e-01 3.989264602828837736e-02
2.230000000000000000e+05 2.191235895447375759e-01 4.140262606668522860e-02
2.360000000000000000e+05 2.299339211571119521e-01 4.208155340109419856e-02
2.500000000000000000e+05 2.305299585011355896e-01 4.258275494603361375e-02
